0	1.000000
1	0.086264
2	-0.021434
3	-0.012242
4	-0.015214
5	0.040891
6	0.011063
7	0.057045
8	0.013918
9	0.020004
10	0.069485
11	0.008790
12	0.011210
13	-0.054301
14	-0.049499
15	-0.081260
16	-0.051103
17	-0.027685
18	-0.065554
19	-0.060288
20	-0.043503
21	0.070039
22	-0.062533
23	-0.046901
24	0.053680
25	-0.037846
26	-0.010943
27	-0.040727
28	0.029411
29	-0.003944
30	0.055713
31	0.056143
32	0.025233
33	0.032568
34	0.074291
35	0.089101
36	0.015057
37	0.048206
38	0.050150
39	0.031044
40	0.043188
41	0.039098
42	0.112048
43	0.088767
44	0.038849
45	0.100644
46	0.023111
47	0.060496
48	0.028982
49	0.031348
